,place_code,ItemID,address,local,category
200,STORE_YS0201,마구로센 한남본점,서울 용산구 대사관로31길 24,(지번) 한남동 657-84,참치회
201,STORE_YS0202,어프로치커피,서울 용산구 한강대로40길 18-3,(지번) 한강로2가 154,카페
202,STORE_YS0203,올댓재즈,서울 용산구 이태원로27가길 12 3층,(지번) 이태원동 112-4,라이브카페
203,STORE_YS0204,소수,서울 용산구 한남대로20길 31,(지번) 한남동 68-25,"육류,고기"
204,STORE_YS0205,스시쵸우,서울 용산구 한남대로27가길 10,(지번) 한남동 729-18,"초밥,롤"
205,STORE_YS0206,오랑오랑,서울 용산구 신흥로 95-21,(지번) 용산동2가 1-62,카페
206,STORE_YS0207,강원정삼계탕,서울 용산구 원효로89길 13-10,(지번) 원효로1가 48-7,삼계탕
207,STORE_YS0208,더버뮤다,서울 용산구 녹사평대로 168-6,(지번) 이태원동 34-50,양식
208,STORE_YS0209,쿱한남,서울 용산구 한남대로21길 27 9층,(지번) 한남동 78,양식
209,STORE_YS0210,삼곱식당 용산역점,서울 용산구 한강대로 128 1층,(지번) 한강로2가 123-1,"육류,고기"
210,STORE_YS0211,쟈니덤플링 본관,서울 용산구 보광로59길 33,(지번) 이태원동 74-24,중화요리
211,STORE_YS0212,저스틴스테이크,서울 용산구 이태원로26길 18,(지번) 이태원동 129-5,"스테이크,립"
212,STORE_YS0213,오라라,서울 용산구 이태원로54길 32,(지번) 한남동 683-8,카페
213,STORE_YS0214,도깨비코티지,서울 용산구 소월로2나길 6-1,(지번) 후암동 435,카페
214,STORE_YS0215,텅앤그루브조인트,서울 용산구 보광로60길 7 1층,(지번) 이태원동 127-15,"육류,고기"
215,STORE_YS0216,어메이징타이,서울 용산구 이태원로 238-1 3층,(지번) 한남동 683-134,태국음식
216,STORE_YS0217,파이프,서울 용산구 이태원로26길 19,(지번) 이태원동 130-10,피자
217,STORE_YS0218,이치류 한남직영점,서울 용산구 한남대로10길 58-6,(지번) 한남동 319,일식
218,STORE_YS0219,도렐 육지2호점,서울 용산구 한강대로 100 아모레퍼시픽빌딩 지하1층,(지번) 한강로2가 424,카페
219,STORE_YS0220,후스시,서울 용산구 이촌로 245 로얄상가 2층 201호,(지번) 이촌동 301-10,"초밥,롤"
220,STORE_YS0221,스시우미,서울 용산구 한강대로 69 용산푸르지오써밋상가 지하1층 B101-2호,(지번) 한강로3가 95,"초밥,롤"
221,STORE_YS0222,이여곰탕 용산점,서울 용산구 한강대로 136,(지번) 한강로2가 109-2,한정식
222,STORE_YS0223,교양식사,서울 용산구 이태원로 238,(지번) 한남동 683-134,"육류,고기"
223,STORE_YS0224,널담은공간,서울 용산구 신흥로15길 18-12,(지번) 용산동2가 19-12,카페
224,STORE_YS0225,아이라이크마운틴,서울 용산구 대사관로6가길 9,(지번) 한남동 753-9,카페
225,STORE_YS0226,오월의종 단풍나무점,서울 용산구 이태원로49길 24,(지번) 한남동 743-8,"제과,베이커리"
226,STORE_YS0227,한남타츠 본점,서울 용산구 한남대로20길 37 1층,(지번) 한남동 68-15,일본식주점
227,STORE_YS0228,정민,서울 용산구 이태원로54길 58-18,(지번) 한남동 683-53,중식
228,STORE_YS0229,멘야산다이메 이태원점,서울 용산구 이태원로 208 2층,(지번) 한남동 736-11,일본식라면
229,STORE_YS0230,오르조애프터8,서울 용산구 독서당로 81-1 2층,(지번) 한남동 29-6,양식
230,STORE_YS0231,삐삣버거 한남본점,서울 용산구 이태원로54길 8 1층,(지번) 한남동 683-31,햄버거
231,STORE_YS0232,스타벅스 한강진역R점,서울 용산구 이태원로 252,(지번) 한남동 683-139,커피전문점
232,STORE_YS0233,어글리소사이어티,서울 용산구 보광로59길 40 6층,(지번) 이태원동 66-3,칵테일바
233,STORE_YS0234,브랑쿠시,서울 용산구 새창로 104,(지번) 용문동 28-65,카페
234,STORE_YS0235,스타벅스 용산역써밋R점,서울 용산구 한강대로 69,(지번) 한강로2가 410-1,커피전문점
235,STORE_YS0236,양푼이동태탕,서울 용산구 후암로 18 1층,(지번) 후암동 244-72,"해물,생선"
236,STORE_YS0237,아그라 이태원점,서울 용산구 이태원로 153 덕흥빌딩 지하1층,(지번) 이태원동 172-2,인도음식
237,STORE_YS0238,남산와이너리,서울 용산구 회나무로10길 5,(지번) 이태원동 282-7,와인바
238,STORE_YS0239,몽크스부처,"서울 용산구 이태원로 228-1 3,4층",(지번) 한남동 683-126,아시아음식
